Analysis_Date,Stock_Symbol,Price_At_Signal,Model_Signal,Trigger_Reason
2026-06-03,BHAELE,405.1,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-03,TATGLO,1160.9,🟡 HOLD / RISK,Weak operational efficiency ROE < 10%.
2026-06-03,JIOFIN,234.08,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-03,WIPRO,207.44,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-03,ENGIND,224.17,🟡 HOLD,Sideways consolidation pattern.
2026-06-03,LIC,399.7,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-03,MIR150,30.18,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-03,DRREDD,1266.4,🟡 HOLD,Sideways consolidation pattern.
2026-06-03,SEQSCI,1071.6,🟢 ACCUMULATE,Healthy structural accumulation channel.
2026-06-03,JSWENE,579.35,🟡 HOLD / RISK,Weak operational efficiency ROE < 10%.
2026-06-03,NHPC,75.52,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-03,NTPC,366.7,🟡 HOLD,Sideways consolidation pattern.
2026-06-03,NTPGRE,101.99,🟡 HOLD / RISK,Weak operational efficiency ROE < 10%.
2026-06-03,SJVLIM,73.25,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-03,TATPOW,410.8,🟡 HOLD,Sideways consolidation pattern.
2026-06-03,GAIL,163.72,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-03,GUJGA,398.3,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-03,HINPET,383.45,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-03,ONGC,268.5,🟡 HOLD,Sideways consolidation pattern.
2026-06-03,PETLNG,268.4,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-03,RELIND,1309.1,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-03,GUJPPL,156.64,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-03,IDECEL,14.23,🟡 HOLD / PEAK,Overextended >25% above 50 DMA.
2026-06-06,ASHLEY,145.29,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-06,TATCAP,305.9,🟡 HOLD,Sideways consolidation pattern.
2026-06-06,FEDBAN,304.15,🟢 ACCUMULATE,Healthy structural accumulation channel.
2026-06-06,HDFBAN,747.05,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-06,LGELEC,1523.9,🟡 HOLD,Sideways consolidation pattern.
2026-06-06,HDF250,,🟡 HOLD,Sideways consolidation pattern.
2026-06-06,ICIGOL,,🟡 HOLD,Sideways consolidation pattern.
2026-06-06,ICINIF,266.01,🟡 HOLD,Sideways consolidation pattern.
2026-06-06,ICIPSE,,🟡 HOLD,Sideways consolidation pattern.
2026-06-06,NIPNIT,,🟡 HOLD,Sideways consolidation pattern.
2026-06-06,BHAELE,408.2,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-06,TATGLO,1130.9,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-06,JIOFIN,236.89,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-06,WIPRO,198.37,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-06,ENGIND,237.78,🟢 ACCUMULATE,Healthy structural accumulation channel.
2026-06-06,LIC,399.9,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-06,MIR150,,🟡 HOLD,Sideways consolidation pattern.
2026-06-06,DRREDD,1278.2,🟡 HOLD,Sideways consolidation pattern.
2026-06-06,SEQSCI,1044.6,🟡 HOLD,Sideways consolidation pattern.
2026-06-06,JSWENE,584.2,🟡 HOLD / RISK,Weak operational efficiency ROE < 10%.
2026-06-06,NHPC,74.97,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-06,NTPC,361.65,🟡 HOLD,Sideways consolidation pattern.
2026-06-06,NTPGRE,100.86,🟡 HOLD / RISK,Weak operational efficiency ROE < 10%.
2026-06-06,SJVLIM,73.68,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-06,TATPOW,409.2,🟡 HOLD,Sideways consolidation pattern.
2026-06-06,GAIL,167.4,🟡 HOLD / RISK,Weak operational efficiency ROE < 10%.
2026-06-06,GUJGA,400.5,🟡 HOLD,Sideways consolidation pattern.
2026-06-06,HINPET,385.05,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-06,ONGC,264.75,🟡 HOLD,Sideways consolidation pattern.
2026-06-06,PETLNG,269.45,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-06,RELIND,1291.0,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-06,GUJPPL,155.74,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-06,IDECEL,14.95,🟡 HOLD / PEAK,Overextended >25% above 50 DMA.
2026-06-10,ASHLEY,143.46,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-10,TATCAP,305.9,🟡 HOLD,Sideways consolidation pattern.
2026-06-10,FEDBAN,313.8,🟢 ACCUMULATE,Healthy structural accumulation channel.
2026-06-10,HDFBAN,740.7,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-10,LGELEC,1523.9,🟡 HOLD,Sideways consolidation pattern.
2026-06-10,HDF250,171.11,🟡 HOLD,Sideways consolidation pattern.
2026-06-10,ICIGOL,122.0,🟡 HOLD,Sideways consolidation pattern.
2026-06-10,ICINIF,266.01,🟡 HOLD,Sideways consolidation pattern.
2026-06-10,ICIPSE,222.68,🟡 HOLD,Sideways consolidation pattern.
2026-06-10,NIPNIT,262.98,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-10,BHAELE,411.95,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-10,TATGLO,1120.2,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-10,JIOFIN,233.44,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-10,WIPRO,181.89,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-10,ENGIND,235.81,🟢 ACCUMULATE,Healthy structural accumulation channel.
2026-06-10,LIC,403.45,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-10,MIR150,30.52,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-10,DRREDD,1272.8,🟡 HOLD,Sideways consolidation pattern.
2026-06-10,SEQSCI,1012.7,🟡 HOLD,Sideways consolidation pattern.
2026-06-10,JSWENE,568.0,🟡 HOLD / RISK,Weak operational efficiency ROE < 10%.
2026-06-10,NHPC,73.68,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-10,NTPC,354.85,🟡 HOLD,Sideways consolidation pattern.
2026-06-10,NTPGRE,100.35,🟡 HOLD / RISK,Weak operational efficiency ROE < 10%.
2026-06-10,SJVLIM,72.48,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-10,TATPOW,395.5,🟡 HOLD,Sideways consolidation pattern.
2026-06-10,GAIL,166.53,🟡 HOLD / RISK,Weak operational efficiency ROE < 10%.
2026-06-10,GUJGA,388.0,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-10,HINPET,382.6,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-10,ONGC,259.4,🟡 HOLD,Sideways consolidation pattern.
2026-06-10,PETLNG,268.4,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-10,RELIND,1289.7,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-10,GUJPPL,155.01,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-10,IDECEL,13.86,🟢 ACCUMULATE,Healthy structural accumulation channel.
2026-06-13,ASHLEY,152.45,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-13,TATCAP,305.9,🟡 HOLD,Sideways consolidation pattern.
2026-06-13,FEDBAN,315.7,🟢 ACCUMULATE,Healthy structural accumulation channel.
2026-06-13,HDFBAN,772.45,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-13,LGELEC,1523.9,🟡 HOLD,Sideways consolidation pattern.
2026-06-13,HDF250,,🟡 HOLD,Sideways consolidation pattern.
2026-06-13,ICIGOL,,🟡 HOLD,Sideways consolidation pattern.
2026-06-13,ICINIF,266.01,🟡 HOLD,Sideways consolidation pattern.
2026-06-13,ICIPSE,,🟡 HOLD,Sideways consolidation pattern.
2026-06-13,NIPNIT,,🟡 HOLD,Sideways consolidation pattern.
2026-06-13,BHAELE,406.5,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-13,TATGLO,1100.7,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-13,JIOFIN,235.89,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-13,WIPRO,180.14,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-13,ENGIND,234.68,🟡 HOLD,Sideways consolidation pattern.
2026-06-13,LIC,399.35,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-13,MIR150,,🟡 HOLD,Sideways consolidation pattern.
2026-06-13,DRREDD,1275.4,🟡 HOLD,Sideways consolidation pattern.
2026-06-13,SEQSCI,1055.5,🟡 HOLD,Sideways consolidation pattern.
2026-06-13,JSWENE,559.35,🟡 HOLD / RISK,Weak operational efficiency ROE < 10%.
2026-06-13,NHPC,73.79,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-13,NTPC,353.9,🟡 HOLD,Sideways consolidation pattern.
2026-06-13,NTPGRE,98.33,🟡 HOLD / RISK,Weak operational efficiency ROE < 10%.
2026-06-13,SJVLIM,72.61,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-13,TATPOW,393.55,🟡 HOLD,Sideways consolidation pattern.
2026-06-13,GAIL,170.5,🟡 HOLD / RISK,Weak operational efficiency ROE < 10%.
2026-06-13,GUJGA,388.0,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-13,HINPET,388.9,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-13,ONGC,246.2,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-13,PETLNG,274.75,🟡 HOLD,Sideways consolidation pattern.
2026-06-13,RELIND,1293.0,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-13,GUJPPL,153.88,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-13,IDECEL,14.9,🟡 HOLD / PEAK,Overextended >25% above 50 DMA.
2026-06-17,ASHLEY,159.35,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-17,TATCAP,305.9,🟡 HOLD,Sideways consolidation pattern.
2026-06-17,FEDBAN,320.4,🟢 ACCUMULATE,Healthy structural accumulation channel.
2026-06-17,HDFBAN,785.75,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-17,LGELEC,1523.9,🟡 HOLD,Sideways consolidation pattern.
2026-06-17,HDF250,175.98,🟢 ACCUMULATE,Healthy structural accumulation channel.
2026-06-17,ICIGOL,123.68,🟡 HOLD,Sideways consolidation pattern.
2026-06-17,ICINIF,266.01,🟡 HOLD,Sideways consolidation pattern.
2026-06-17,ICIPSE,234.78,🟡 HOLD,Sideways consolidation pattern.
2026-06-17,NIPNIT,271.06,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-17,BHAELE,407.35,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-17,TATGLO,1133.0,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-17,JIOFIN,243.6,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-17,WIPRO,184.47,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-17,ENGIND,241.24,🟢 ACCUMULATE,Healthy structural accumulation channel.
2026-06-17,LIC,410.0,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-17,MIR150,31.46,🟡 HOLD,Sideways consolidation pattern.
2026-06-17,DRREDD,1273.5,🟡 HOLD,Sideways consolidation pattern.
2026-06-17,SEQSCI,1110.0,🟢 ACCUMULATE,Healthy structural accumulation channel.
2026-06-17,JSWENE,558.4,🟡 HOLD / RISK,Weak operational efficiency ROE < 10%.
2026-06-17,NHPC,74.73,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-17,NTPC,353.2,🟡 HOLD,Sideways consolidation pattern.
2026-06-17,NTPGRE,97.39,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-17,SJVLIM,73.58,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-17,TATPOW,401.0,🟡 HOLD,Sideways consolidation pattern.
2026-06-17,GAIL,176.09,🟡 HOLD / RISK,Weak operational efficiency ROE < 10%.
2026-06-17,GUJGA,401.3,🟡 HOLD,Sideways consolidation pattern.
2026-06-17,HINPET,403.55,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-17,ONGC,245.65,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-17,PETLNG,291.35,🟡 HOLD,Sideways consolidation pattern.
2026-06-17,RELIND,1329.4,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-17,GUJPPL,155.9,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-17,IDECEL,14.59,🟢 ACCUMULATE,Healthy structural accumulation channel.
2026-06-20,ASHLEY,156.66,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-20,TATCAP,305.9,🟡 HOLD,Sideways consolidation pattern.
2026-06-20,FEDBAN,323.95,🟢 ACCUMULATE,Healthy structural accumulation channel.
2026-06-20,HDFBAN,779.8,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-20,LGELEC,1523.9,🟡 HOLD,Sideways consolidation pattern.
2026-06-20,HDF250,,🟡 HOLD,Sideways consolidation pattern.
2026-06-20,ICIGOL,,🟡 HOLD,Sideways consolidation pattern.
2026-06-20,ICINIF,266.01,🟡 HOLD,Sideways consolidation pattern.
2026-06-20,ICIPSE,,🟡 HOLD,Sideways consolidation pattern.
2026-06-20,NIPNIT,,🟡 HOLD,Sideways consolidation pattern.
2026-06-20,BHAELE,426.9,🟡 HOLD,Sideways consolidation pattern.
2026-06-20,TATGLO,1111.5,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-20,JIOFIN,244.45,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-20,WIPRO,180.8,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-20,ENGIND,250.74,🟢 ACCUMULATE,Healthy structural accumulation channel.
2026-06-20,LIC,440.15,🟡 HOLD,Sideways consolidation pattern.
2026-06-20,MIR150,,🟡 HOLD,Sideways consolidation pattern.
2026-06-20,DRREDD,1272.1,🟡 HOLD,Sideways consolidation pattern.
2026-06-20,SEQSCI,1110.9,🟢 ACCUMULATE,Healthy structural accumulation channel.
2026-06-20,JSWENE,570.1,🟡 HOLD / RISK,Weak operational efficiency ROE < 10%.
2026-06-20,NHPC,75.82,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-20,NTPC,365.8,🟡 HOLD,Sideways consolidation pattern.
2026-06-20,NTPGRE,96.04,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-20,SJVLIM,72.88,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-20,TATPOW,402.35,🟡 HOLD,Sideways consolidation pattern.
2026-06-20,GAIL,173.9,🟡 HOLD / RISK,Weak operational efficiency ROE < 10%.
2026-06-20,GUJGA,388.45,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-20,HINPET,392.1,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-20,ONGC,246.25,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-20,PETLNG,288.7,🟡 HOLD,Sideways consolidation pattern.
2026-06-20,RELIND,1309.5,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-20,GUJPPL,153.08,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-20,IDECEL,14.92,🟢 ACCUMULATE,Healthy structural accumulation channel.
2026-06-24,ASHLEY,151.46,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-24,TATCAP,305.9,🟡 HOLD,Sideways consolidation pattern.
2026-06-24,FEDBAN,319.9,🟢 ACCUMULATE,Healthy structural accumulation channel.
2026-06-24,HDFBAN,774.65,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-24,LGELEC,1523.9,🟡 HOLD,Sideways consolidation pattern.
2026-06-24,HDF250,,🟡 HOLD,Sideways consolidation pattern.
2026-06-24,ICIGOL,,🟡 HOLD,Sideways consolidation pattern.
2026-06-24,ICINIF,266.01,🟡 HOLD,Sideways consolidation pattern.
2026-06-24,ICIPSE,,🟡 HOLD,Sideways consolidation pattern.
2026-06-24,NIPNIT,,🟡 HOLD,Sideways consolidation pattern.
2026-06-24,BHAELE,420.0,🟡 HOLD,Sideways consolidation pattern.
2026-06-24,TATGLO,1103.8,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-24,JIOFIN,237.81,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-24,WIPRO,174.49,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-24,ENGIND,260.24,🟢 ACCUMULATE,Healthy structural accumulation channel.
2026-06-24,LIC,440.15,🟡 HOLD,Sideways consolidation pattern.
2026-06-24,MIR150,,🟡 HOLD,Sideways consolidation pattern.
2026-06-24,DRREDD,1301.3,🟢 ACCUMULATE,Healthy structural accumulation channel.
2026-06-24,SEQSCI,1111.2,🟢 ACCUMULATE,Healthy structural accumulation channel.
2026-06-24,JSWENE,568.9,🟡 HOLD / RISK,Weak operational efficiency ROE < 10%.
2026-06-24,NHPC,77.9,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-24,NTPC,364.6,🟡 HOLD,Sideways consolidation pattern.
2026-06-24,NTPGRE,95.73,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-24,SJVLIM,72.96,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-24,TATPOW,398.3,🟡 HOLD,Sideways consolidation pattern.
2026-06-24,GAIL,173.84,🟡 HOLD / RISK,Weak operational efficiency ROE < 10%.
2026-06-24,GUJGA,369.3,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-24,HINPET,396.75,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-24,ONGC,244.35,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-24,PETLNG,284.95,🟡 HOLD,Sideways consolidation pattern.
2026-06-24,RELIND,1309.5,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-24,GUJPPL,154.72,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-24,IDECEL,14.45,🟢 ACCUMULATE,Healthy structural accumulation channel.
2026-06-27,ASHLEY,160.68,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-27,TATCAP,305.9,🟡 HOLD,Sideways consolidation pattern.
2026-06-27,FEDBAN,324.05,🟢 ACCUMULATE,Healthy structural accumulation channel.
2026-06-27,HDFBAN,796.3,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-27,LGELEC,1523.9,🟡 HOLD,Sideways consolidation pattern.
2026-06-27,HDF250,177.91,🟢 ACCUMULATE,Healthy structural accumulation channel.
2026-06-27,ICIGOL,114.96,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-27,ICINIF,266.01,🟡 HOLD,Sideways consolidation pattern.
2026-06-27,ICIPSE,206.57,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-27,NIPNIT,272.14,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-27,BHAELE,407.2,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-27,TATGLO,1131.3,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-27,JIOFIN,239.43,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-27,WIPRO,175.0,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-27,ENGIND,251.82,🟢 ACCUMULATE,Healthy structural accumulation channel.
2026-06-27,LIC,423.35,🟡 HOLD,Sideways consolidation pattern.
2026-06-27,MIR150,31.5,🟡 HOLD,Sideways consolidation pattern.
2026-06-27,DRREDD,1350.5,🟢 ACCUMULATE,Healthy structural accumulation channel.
2026-06-27,SEQSCI,1082.2,🟡 HOLD,Sideways consolidation pattern.
2026-06-27,JSWENE,573.5,🟡 HOLD / RISK,Weak operational efficiency ROE < 10%.
2026-06-27,NHPC,79.4,🟡 HOLD / RISK,Weak operational efficiency ROE < 10%.
2026-06-27,NTPC,352.05,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-27,NTPGRE,95.72,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-27,SJVLIM,72.09,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-27,TATPOW,388.95,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-27,GAIL,172.85,🟡 HOLD / RISK,Weak operational efficiency ROE < 10%.
2026-06-27,GUJGA,344.0,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-27,HINPET,409.25,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-27,ONGC,233.1,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-27,PETLNG,282.25,🟡 HOLD,Sideways consolidation pattern.
2026-06-27,RELIND,1318.1,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-27,GUJPPL,153.81,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-06-27,IDECEL,14.06,🟢 ACCUMULATE,Healthy structural accumulation channel.
2026-07-01,ASHLEY,161.09,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-07-01,TATCAP,305.9,🟡 HOLD,Sideways consolidation pattern.
2026-07-01,FEDBAN,327.6,🟢 ACCUMULATE,Healthy structural accumulation channel.
2026-07-01,HDFBAN,799.85,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-07-01,LGELEC,1523.9,🟡 HOLD,Sideways consolidation pattern.
2026-07-01,HDF250,179.5,🟢 ACCUMULATE,Healthy structural accumulation channel.
2026-07-01,ICIGOL,115.17,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-07-01,ICINIF,266.01,🟡 HOLD,Sideways consolidation pattern.
2026-07-01,ICIPSE,211.89,🟡 HOLD,Sideways consolidation pattern.
2026-07-01,NIPNIT,270.89,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-07-01,BHAELE,412.5,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-07-01,TATGLO,1084.9,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-07-01,JIOFIN,237.69,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-07-01,WIPRO,171.54,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-07-01,ENGIND,239.08,🟡 HOLD,Sideways consolidation pattern.
2026-07-01,LIC,432.25,🟡 HOLD,Sideways consolidation pattern.
2026-07-01,MIR150,31.31,🟡 HOLD,Sideways consolidation pattern.
2026-07-01,DRREDD,1351.7,🟢 ACCUMULATE,Healthy structural accumulation channel.
2026-07-01,SEQSCI,1095.0,🟡 HOLD,Sideways consolidation pattern.
2026-07-01,JSWENE,579.85,🟡 HOLD / RISK,Weak operational efficiency ROE < 10%.
2026-07-01,NHPC,80.5,🟡 HOLD / RISK,Weak operational efficiency ROE < 10%.
2026-07-01,NTPC,355.25,🟡 HOLD,Sideways consolidation pattern.
2026-07-01,NTPGRE,95.75,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-07-01,SJVLIM,73.16,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-07-01,TATPOW,384.95,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-07-01,GAIL,172.86,🟡 HOLD / RISK,Weak operational efficiency ROE < 10%.
2026-07-01,GUJGA,327.05,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-07-01,HINPET,394.35,🔴 STRG SELL,Below 200 DMA structural breakdown.
2026-07-01,ONGC,234.85,🔴 STRG SELL,Below 200 DMA structural breakdown.
